keyword,frequency
"au",126
"c c",97
"99",86
"gb",77
"store",71
"spend",69
"0 c",64
"0 c c",64
"10",62
"50",59
"20",53
"prime",51
"100",49
"59",46
"cashback",45
"30",45
"c store",41
"c c store",41
"15",39
"95",38
"0 prime",38
"prime 59",38
"0 prime 59",38
"vic",37
"pro",36
"ebay",36
"59 spend",35
"prime 59 spend",35
"gift",34
"12",34
"order",34
"spend au",30
"rrp",29
"plus",29
"card",29
"59 spend au",29
"16",29
"apple",27
"25",26
"nsw",26
"required",24
"month",23
"fi",22
"pack",21
"good",21
"steam",21
"black",20
"google",20
"60",19
"price",19
"topcashback",19
"pc",19
"40",19
"membership",18
"90",18
"app",17
"topcashback au",17
"cards",17
"guys",17
"good guys",17
"bonus",17
"kg",17
"switch",17
"hi",16
"hi fi",15
"ebay plus",15
"75",15
"save",15
"29",14
"gift cards",14
"shopback",14
"smart",14
"150",14
"qld",14
"cap",14
"2025",14
"4k",14
"jb",14
"jb hi",14
"jb hi fi",14
"49",13
"wireless",13
"plan",13
"credit",13
"customers",13
"selected",13
"usb",13
"watch",13
"11",13
"ram",13
"39",13
"tb",13
"digital",12
"australia",12
"new",12
"woolworths",12
"buy",12
"series",12
"points",12
"tv",12
"online",12
"95 0",12
"games",12
"max",11
"aliexpress",11
"c good",11
"c c good",11
"c good guys",11
"costco",11
"membership required",11
"80",11
"months",11
"69",11
"items",11
"27",11
"ai",11
"gaming",11
"16 gb",11
"metro",11
"everyday",11
"extra",11
"asus",11
"vacuum",10
"white",10
"bing",10
"lee",10
"bing lee",10
"day",10
"gift card",10
"pm",10
"fee",10
"coles",10
"david",10
"ps5",10
"edition",10
"uber",10
"500",10
"128",10
"19",10
"com",9
"79",9
"case",9
"air",9
"activation",9
"sydney",9
"200",9
"99 0",9
"oled",9
"areas",9
"35",9
"0 metro",9
"1 tb",9
"premium",9
"128 gb",9
"men",8
"65",8
"men s",8
"power",8
"13",8
"shoes",8
"year",8
"pc steam",8
"mobile",8
"energy",8
"activation required",8
"bowls",8
"17",8
"lego",8
"000",8
"tv 2025",8
"pay",8
"apple pay",8
"usb c",8
"299",8
"metro c",8
"0 metro c",8
"metro c c",8
"jones",8
"david jones",8
"0 vic",8
"mm",8
"big",8
"save 0",8
"save 0 prime",8
"256",8
"28",8
"256 gb",8
"samsung",8
"coffee",8
"play",8
"home",8
"ultra",8
"officeworks",8
"kogan",8
"centre",8
"days",7
"249",7
"member",7
"gen",7
"portable",7
"74",7
"express",7
"christmas",7
"check",7
"70",7
"battery",7
"rewards",7
"wa",7
"mini",7
"bluetooth",7
"eligible",7
"set",7
"del",7
"onepass",7
"game",7
"wi",7
"wi fi",7
"uncapped",7
"bank",7
"ultimate",7
"18",7
"512",7
"512 gb",7
"nintendo",7
"direct",7
"gb ram",7
"yello",7
"vic c",7
"vic c c",7
"55",7
"shipped",7
"32",7
"32 gb",7
"prepaid",7
"sim",7
"big w",7
"syd",7
"14",7
"android",7
"99 costco",7
"google play",7
"red",7
"switch 2",7
"uk",7
"sub",7
"sub save",7
"sub save 0",7
"centre com",7
"store jb",7
"c store jb",7
"store jb hi",7
"9 95",6
"green",6
"robot",6
"pickup",6
"button",6
"price check",6
"check button",6
"button 0",6
"price check button",6
"check button 0",6
"costco membership",6
"boost",6
"myer",6
"gateway",6
"razer",6
"kmart",6
"300",6
"bundle",6
"00",6
"s s",6
"redemption",6
"harvey",6
"norman",6
"harvey norman",6
"1 kg",6
"120",6
"64",6
"orders",6
"24",6
"rx",6
"0 vic c",6
"minimum",6
"ssd",6
"149",6
"119",6
"flights",6
"drive",6
"199",6
"egift",6
"gb 1",6
"250",6
"jbl",6
"playstation",6
"melbourne",6
"earn",6
"uk au",6
"47",6
"westpac",6
"34",6
"chicken",6
"eb",6
"eb games",6
"monitor",6
"subscription",6
"graphics",6
"100 order",6
"multi",5
"36",5
"lock",5
"single",5
"459",5
"club",5
"robot vacuum",5
"physical",5
"car",5
"button 0 c",5
"chips",5
"2 95",5
"3 5",5
"headphones",5
"gear",5
"9 99",5
"del 0",5
"return",5
"travel",5
"sa",5
"tesla",5
"uhd",5
"central",5
"excl",5
"4k smart",5
"0 selected",5
"selected areas",5
"0 selected areas",5
"uncapped topcashback",5
"purchase",5
"standard",5
"outdoor",5
"22",5
"commbank",5
"commbank yello",5
"499",5
"shop",5
"xsx",5
"dec",5
"park",5
"10 0",5
"bne",5
"mel",5
"choice",5
"gelato",5
"eats",5
"uber eats",5
"signature",5
"store officeworks",5
"399",5
"band",5
"origin",5
"ddr5",5
"oil",5
"transaction",5
"st",5
"appliances",5
"71",5
"target",5
"8 gb",5
"keyboard",5
"rtx",5
"7 95",5
"oc",5
"98",5
"use",5
"use apple",5
"use apple pay",5
"85",5
"graphics card",5
"99 costco membership",5
"costco membership required",5
"tcl",5
"google tv",5
"google tv 2025",5
